"Qty";"Value";"Device";"Package";"Parts";"Description";"3D_PACKAGE";"ALLIED_NUMBER";"DESCRIPTION";"GAIN";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"OTHER_PART_NUMBER";"RS_PART_NUMBER";"SUPPLIER_NAME";"VENDOR";
"2";"";"5569-02A2";"5569-02A2";"JP1, JP2";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"DIODE-DO-214AB";"DO-214AB";"D3";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"";"IGBT-1N";"TO-247AD_X1";"Q2, Q3";"";"";"";"";"";"";"";"";"";"";"";"";
"5";"";"LED1608";"LED1608";"LED1, LED2, LED3, LED4, LED5";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"SBD-SOD523";"DIODE_SOD523";"D12";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"";"SKRP";"SKRP";"SW1, SW2";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"T-CON";"T-CON";"CN1";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"0.1U";"C1005";"C1005";"C14";"";"";"";"";"";"";"";"";"";"";"";"";
"7";"0.1u";"C1005";"C1005";"C3, C9, C10, C11, C12, C15, C17";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"0.22u";"C1005";"C1005";"C7, C13";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"0.3m";"R4-WSL4026";"WSL4026";"R28";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"0.47n";"C1005";"C1005";"C1";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"1.2M";"R1005";"R1005";"R38";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"1.5M";"R1005";"R1005";"R35";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"10";"R1608";"R1608";"R24, R25, R34";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"100";"R1608";"R1608";"R4";"";"";"";"";"";"";"";"";"";"";"";"";
"18";"10k";"R1005";"R1005";"R3, R5, R8, R16, R17, R18, R20, R23, R26, R27, R33, R37, R43, R44, R48, R49, R50, R51";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"10n";"C1005";"C1005";"C4, C18, C19";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"10p";"C1005";"C1005";"C23, C24";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"130k";"R1005";"R1005";"R1";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"15";"F3216";"3216";"F1";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"15u";"L50";"L4949";"L1";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"1k";"R1005";"R1005";"R32, R39";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"1u";"C1005";"C1005";"C16, C20";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"2.2";"R1608";"R1608";"R7, R19, R52, R53";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"2.2k";"R-S-3";"RIEDON-S-3";"R36";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"2.2k";"R1005";"R1005";"R30, R41";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"2.4k";"R1005";"R1005";"R9";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"22";"R1608";"R1608";"R13, R14";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"22n";"C1005";"C1005";"C2";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"22u";"CPOLS-6.3";"ES-6.3";"C5";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"240k";"R1005";"R1005";"R2";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"2k";"R1005";"R1005";"R6";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"2m";"R4-FC4L";"FC4L";"R12";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"3.3k";"R1005";"R1005";"R11, R21";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"330";"R1005";"R1005";"R42, R45, R46, R47";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"33k";"R1005";"R1005";"R10, R29, R31, R40";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"4.7u";"C1608";"C1608";"C6, C8";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"470p";"C1005";"C1005";"C22";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"47n";"C3216";"C3216";"C21";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"750";"R1005";"R1005";"R22";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"8.2u";"SRP6060FA-220M";"SRP6060FA220M";"L2";"Fixed Inductors 22uH 20% 5A";"";"71262024";"Fixed Inductors 22uH 20% 5A";"";"6mm";"Bourns";"SRP6060FA-220M";"";"";"";"";
"1";"AD8601";"SINGLE-OPAMP-ISO-SOT23";"SOT23-5";"U10";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"ADCMP350YKSZ";"ADCMP350YKSZ";"KS_4";"U11";"";"";"";"";"";"";"";"ADCMP350YKSZREEL7";"";"";"";"Analog Devices Inc";
"2";"AO4444";"AO4440";"SOIC8";"U$1, U$2";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"AS4PG";"DIODE-SMPC";"SMPC";"D5, D6";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"BSP130";"MOS-N-SOT223";"SOT223";"Q5";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"BSS138";"MOS-N-SOT23";"SOT23-3";"Q4";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"FA238V";"FA238V";"EPSON_FA238V";"Y1";"MHz RANGE CRYSTAL UNIT";"";"";"MHz RANGE CRYSTAL UNIT";"";"mm";"Epson ICs";"FA238V";"";"";"RS";"";
"1";"IC-AD_ADR5041";"IC-AD_ADR5041";"IC-AD_SC70-3";"U5";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"INA213";"INA213";"SC70-6";"U9";"";"";"";"";"50";"";"";"";"";"";"";"";
"1";"J_USB_MICROAB_HIROSE_ZX62-AB-5PA";"J_USB_MICROAB_HIROSE_ZX62-AB-5PA";"J_USB_MICROAB_HIROSE_ZX62-AB-5PA";"J2";"USB Micro-AB SMT connector";"";"";"";"";"";"";"";"";"";"";"";
"1";"LM5160QPWPRQ1";"LM5160QPWPRQ1";"SOP65P640X110-15N";"U2";"Voltage Regulators - Switching Regulators Wide Input 65V, 1.5A Synchronous Buck / Fly-Buck? Converter 14-HTSSOP -40 to 125";"";"";"Voltage Regulators - Switching Regulators Wide Input 65V, 1.5A Synchronous Buck / Fly-Buck? Converter 14-HTSSOP -40 to 125";"";"1.1mm";"Texas Instruments";"LM5160QPWPRQ1";"";"";"RS";"";
"1";"LPC1549JBD48";"LPC1549JBD48";"QFP48";"U1";"NXP - LPC1549JBD48 - 32BIT MCU, CORTEX-M3, 72 MHZ, LQFP-48";"";"";"NXP - LPC1549JBD48 - 32BIT MCU, CORTEX-M3, 72 MHZ, LQFP-48";"";"1.6mm";"NXP";"LPC1549JBD48";"";"";"RS";"";
"1";"LT6108-2";"LT6108-2";"MSOP8";"U7";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"MAX3051ESA+";"MAX3051ESA+";"SOIC127P600X175-8N";"IC1";"CAN Transceiver 1 Mbit/s ISO 11898 Standby-Mode 8pins SOIC";"";"";"CAN Transceiver 1 Mbit/s ISO 11898 Standby-Mode 8pins SOIC";"";"1.75mm";"Maxim Integrated";"MAX3051ESA+";"";"7329005";"RS";"";
"1";"MIC5219-3.3YMM";"MIC5219-3.3YMM";"MSOP-8_MM";"U12";"";"";"";"";"";"";"";"MIC52193.3YMM";"";"";"";"Micrel";
"4";"RB520S";"SBD-SOD523";"DIODE_SOD523";"D7, D8, D9, D10";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"SDM2U40CSP-7B";"SDM2U40CSP-7B";"X3-WLB1608-2";"D2, D11";"2A SCHOTTKY BARRIER RECTIFIER CHIP SCALE PACKAGE";"";"";"2A SCHOTTKY BARRIER RECTIFIER CHIP SCALE PACKAGE";"";"mm";"Diodes Inc.";"SDM2U40CSP-7B";"";"";"RS";"";
"1";"SM03B-ZESS-TB";"SM03B-ZESS-TB";"SM03B-ZESS-TB";"J1";"JST (JAPAN SOLDERLESS TERMINALS) - SM03B-ZESS-TB - HEADER, ZE, SIDE, SMT, 3WAY";"";"";"JST (JAPAN SOLDERLESS TERMINALS) - SM03B-ZESS-TB - HEADER, ZE, SIDE, SMT, 3WAY";"";"mm";"JST (JAPAN SOLDERLESS TERMINALS)";"SM03B-ZESS-TB";"";"";"RS";"";
"1";"SMAJ300";"SBD-DO-214AC";"DO-214AC";"D4";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"SMAJP4KE30A";"SBD-DO-214AC";"DO-214AC";"D1";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"TK12P60W";"MOS-N-DPAK";"DPAK-3";"Q1";"";"";"";"";"";"";"";"";"";"";"";"";
